patient,chr,start,end,type
CONTROL20,18,14005801,14940164,Loss
CONTROL20,4,89382822,90026659,Gain
CONTROL20,Y,22291360,22551713,Gain
CONTROL20,1,91687129,91991816,LOH
CONTROL20,13,39018815,39432029,LOH
CONTROL20,1,78955145,79045114,LOH
CONTROL20,8,50782581,51756212,Gain
CONTROL20,3,131895103,132447681,Loss
CONTROL20,2,153065573,153170777,Gain
CONTROL20,14,85496482,85946356,Gain
CONTROL20,4,102773088,103112796,Loss
CONTROL20,7,18836925,19128249,LOH
CONTROL20,6,2396209,2581277,Loss
CONTROL20,8,11068298,11136482,Loss
CONTROL20,14,16295456,16377476,LOH
CONTROL20,11,59011907,59404129,LOH
CONTROL20,4,181820216,182028701,LOH
CONTROL20,10,43182354,44180218,Loss
CONTROL20,X,11321889,12161045,Gain
CONTROL20,17,6682233,7493913,Gain
CONTROL20,1,56674411,57248514,Loss
CONTROL20,3,140470163,140889971,Gain
CONTROL20,1,188402718,188878467,LOH
CONTROL20,19,27768502,28084539,Loss
CONTROL20,3,31647397,32309536,LOH
CONTROL20,16,31403840,32067630,Loss
CONTROL21,3,84281687,85015444,Loss
CONTROL21,15,22752528,22969887,LOH
CONTROL21,5,65348104,65496159,Loss
CONTROL21,9,10377513,10952054,LOH
CONTROL21,13,76223657,76234097,Loss
CONTROL21,16,38669668,39323820,Gain
CONTROL21,14,41229183,41343820,Gain
CONTROL21,5,45893056,46720586,Gain
CONTROL21,22,47261347,47732820,Loss
CONTROL21,9,87518639,87874034,LOH
CONTROL21,22,4244743,4952050,Loss
CONTROL21,19,41055637,41748599,Loss
CONTROL21,3,168391917,168538318,LOH
CONTROL21,8,70619518,71141662,LOH
CONTROL21,11,73862136,74453527,Loss
CONTROL21,2,112137179,112777658,Loss
CONTROL21,8,134617676,134674667,Loss
CONTROL21,6,122994808,123230249,Gain
CONTROL21,7,55938879,56890359,LOH
CONTROL21,Y,30735270,31620588,LOH
CONTROL21,7,1133791,1180621,LOH
CONTROL21,12,7862697,8676894,Loss
CONTROL21,1,244947518,245778452,LOH
CONTROL21,6,55567795,55672553,LOH
CONTROL21,13,40382726,40763014,Loss
CONTROL21,5,76160754,76437433,LOH
CONTROL21,4,4163962,4538136,Loss
CONTROL21,21,28246380,28677589,Loss
CONTROL21,X,24161040,24240262,LOH
CONTROL21,12,31514748,31744932,Loss
CONTROL21,18,22597758,22888297,Gain
CONTROL21,18,51857047,52828959,LOH
CONTROL21,17,50224061,50319223,Gain
CONTROL21,20,25344865,25736723,Gain
CONTROL21,8,120060112,120621541,Gain
CONTROL21,15,95522442,96167718,LOH
CONTROL21,3,112062188,112267883,Loss
CONTROL21,20,60479907,61221708,Loss
CONTROL21,Y,18069281,18832564,LOH
CONTROL21,17,49376988,50175831,Gain
CONTROL21,5,178705811,179183954,Gain
CONTROL21,2,38972277,39409118,Gain
CONTROL21,14,34149623,34979263,Gain
CONTROL21,7,144593404,145586830,Loss
CONTROL21,10,32865894,33008400,Gain
CONTROL21,12,78763952,79136848,Gain
CONTROL21,1,132320339,133166289,LOH
CONTROL21,6,15830059,16755959,Loss
CONTROL21,18,69525104,69637181,Gain
CONTROL21,17,27236549,27411211,Loss
CONTROL21,20,23957957,24256047,Loss
CONTROL21,14,101447749,101672154,Gain
CONTROL21,22,20917312,21560498,Loss
CONTROL21,12,8678414,8997575,LOH
CONTROL21,11,123599529,124488024,Gain
CONTROL21,8,121422336,121467299,LOH
CONTROL21,15,53588903,54410712,Gain
CONTROL21,3,117709145,118113716,Gain
CONTROL21,14,85412870,85896839,LOH
CONTROL21,22,26209463,27140605,LOH
CONTROL21,6,141471305,141786116,Gain
CONTROL21,17,9446230,10147636,Gain
CONTROL21,14,100542630,101394510,LOH
CONTROL21,22,30206153,30666709,LOH
CONTROL21,1,55775400,56471375,LOH
CONTROL21,3,198607968,198869333,Gain
CONTROL21,21,11362018,12192960,Loss
CONTROL21,6,328316,1238318,Loss
CONTROL21,15,79478613,79991247,Gain
CONTROL21,21,38695506,38947488,Loss
CONTROL21,X,124689986,125327197,Gain
CONTROL21,11,35771053,36064439,Gain
CONTROL21,17,16417531,16721088,LOH
CONTROL21,13,4905994,5043970,LOH
CONTROL21,11,25708646,26259542,Gain
CONTROL21,6,39899607,39971619,Loss
CONTROL21,22,16475028,17154410,LOH
CONTROL21,12,36664882,37216362,Gain
CONTROL21,18,65982200,66011130,Gain
CONTROL21,Y,27915964,28144305,Gain
CONTROL21,Y,5017294,5897737,LOH
CONTROL21,3,191146528,191764808,Gain
CONTROL21,10,36755059,36787867,LOH
CONTROL21,6,165181723,165993700,Gain
CONTROL21,13,12675220,12909405,Loss
CONTROL21,15,8436934,8981941,Loss
CONTROL21,15,50548229,50883243,Loss
CONTROL21,9,137322208,137803228,Gain
CONTROL21,9,31346139,31991922,Loss
CONTROL21,21,40470509,40586239,Loss
CONTROL21,2,204174808,204650949,Loss
CONTROL21,2,171776599,172015988,Gain
CONTROL21,1,210878202,211689740,Loss
CONTROL21,21,41755187,41886235,Gain
CONTROL21,X,22911453,23840197,LOH
CONTROL21,1,157040844,157728797,Loss
CONTROL21,6,167747049,168008950,LOH
CONTROL21,7,144302950,145233061,LOH
CONTROL21,18,57517610,58317976,LOH
CONTROL21,17,55713838,55961764,Gain
CONTROL21,4,180420186,181156611,Gain
CONTROL12,4,3002516,3316543,Gain
CONTROL13,4,2983694,3351748,Gain
CONTROL14,17,41595236,41856166,Gain
CONTROL10,17,41657735,41828892,Gain
CONTROL8,18,4603657,5220122,Loss
CONTROL22,18,4656161,5201160,Loss
CONTROL12,18,4621251,5202185,Loss
CONTROL2,18,4674993,5251625,Loss
CONTROL11,18,4689545,5194835,Loss
CONTROL14,18,4617933,5217668,Loss
CONTROL19,18,4645969,5253307,Loss
CONTROL15,18,4655672,5172793,Loss
CONTROL13,18,4673592,5256555,Loss
CONTROL20,18,4684581,5226828,Loss
CONTROL17,18,4671077,5191008,Loss
CONTROL9,18,4676454,5215626,Loss
CONTROL3,18,4684416,5181943,Loss
CONTROL6,18,4668225,5160718,Loss
CONTROL5,18,4629120,5185240,Loss
CONTROL18,18,4619019,5249435,Loss
CONTROL16,18,4662621,5188651,Loss
CONTROL7,18,4621811,5219710,Loss
CONTROL4,18,4633541,5251467,Loss
